Date,AvgTempC,Precip. in / cm,WindSpeedMph,,Location ,Egypt ,,,,,,
07/02/2018,20.3,0,4.5,,,,,,,,,
08/02/2018,23.3,0,4.3,,,,,,,,,
09/02/2018,21.8,0,4.9,,,,,,,,,
10/02/2018,25.9,0,10.4,,,,,,,,,
11/02/2018,22.1,0,11.8,,,,,,,,,
12/02/2018,20.5,0,12.7,,,,,,,,,
13/2/2018,16.5,0,12.9,,,,,,,,,
14/2/2018,15.2,0,12.7,,,,,,,,,
15/2/2018,14.9,0,13,,,,,,,,,
16/2/2018,14.6,0,12.6,,,,,,,,,
17/2/2018,13.2,0,14.9,,,,,,,,,
18/2/2018,14.3,0,6.9,,,,,,,,,
19/2/2018,16.8,0,2.5,,,,,,,,,
20/2/2018,17.9,0,3.5,,,,,,,,,
21/2/2018,20.4,0,8.9,,,,,,,,,
22/2/2018,19.3,0,4.5,,,,,,,,,
23/2/2018,20.4,0,6.6,,,,,,,,,
24/2/2018,19.3,0,7,,,,,,,,,
25/2/2018,20.4,0,8.4,,,,,,,,,
26/2/2018,21.4,0,6.5,,,,,,,,,
27/2/2018,19.6,0,9.7,,,,,,,,,
28/2/2018,16.7,0,5.5,,,,,,,,,
01/03/2018,20,0,3.7,,,,,,,,,
02/03/2018,20.3,0,3.2,,,,,,,,,
03/03/2018,22.7,0,6.4,,,,,,,,,
04/03/2018,24.1,0,10.8,,,,,,,,,
05/03/2018,25.1,0,5.5,,,,,,,,,
06/03/2018,25.5,0,9.5,,,,,,,,,
07/03/2018,26.5,0,5,,,,,,,,,
08/03/2018,27.3,0,7.3,,,,,,,,,
09/03/2018,23.1,0,9.3,,,,,,,,,
10/03/2018,20.1,0,9,,,,,,,,,
11/03/2018,17.8,0,8.8,,,,,,,,,
12/03/2018,18.9,0,9.3,,,,,,,,,
13/3/2018,19.3,0,10.5,,,,,,,,,
14/3/2018,20.3,0,10,,,,,,,,,
15/3/2018,19.3,0,10.9,,,,,,,,,
16/3/2018,19,0,12.2,,,,,,,,,
17/3/2018,19.1,0,11.2,,,,,,,,,
18/3/2018,23.9,0,7,,,,,,,,,
19/3/2018,25,0,8.8,,,,,,,,,
20/3/2018,22.3,0,6.9,,,,,,,,,
21/3/2018,23.6,0,5.7,,,,,,,,,
22/3/2018,26.3,0,3.1,,,,,,,,,
23/3/2018,31.2,0,13.4,,,,,,,,,
24/3/2018,19.9,0,14.6,,,,,,,,,
25/3/2018,18.4,0,14.1,,,,,,,,,
26/3/2018,20.3,0,6.1,,,,,,,,,
27/3/2018,23.6,0,8,,,,,,,,,
28/3/2018,27.7,0,19.5,,,,,,,,,
29/3/2018,19.1,0,12.5,,,,,,,,,
30/3/2018,17.3,0,9.9,,,,,,,,,
31/3/2018,18.7,0,11.5,,,,,,,,,
01/04/2018,19.8,0,12.3,,,,,,,,,
02/04/2018,22.2,0,13.6,,,,,,,,,
03/04/2018,21.9,0,15.2,,,,,,,,,
04/04/2018,18.9,0,13.1,,,,,,,,,
05/04/2018,19.9,0,13.7,,,,,,,,,
06/04/2018,19.7,0,12.5,,,,,,,,,
07/04/2018,20.9,0,12.3,,,,,,,,,
08/04/2018,19.4,0,13,,,,,,,,,
09/04/2018,19.8,0,11.8,,,,,,,,,
10/04/2018,20.1,0,11.6,,,,,,,,,
11/04/2018,22.1,0,8.4,,,,,,,,,
12/04/2018,27.8,0,6.8,,,,,,,,,
13/4/2018,30.1,0,4.9,,,,,,,,,
14/4/2018,28.9,0,10.3,,,,,,,,,
15/4/2018,27.2,0,8.9,,,,,,,,,
16/4/2018,27.7,0,8.6,,,,,,,,,x
17/4/2018,29.7,0,7.1,,,,,,,,,
18/4/2018,29.1,0,5.5,,,,,,,,,
19/4/2018,27.2,0,11.6,,,,,,,,,
20/4/2018,28.7,0,6.2,,,,,,,,,
21/4/2018,28.7,0,11.8,,,,,,,,,
22/4/2018,20.1,0,11.4,,,,,,,,,
23/4/2018,21.4,0,11.1,,,,,,,,,
24/4/2018,22.7,0,8.8,,,,,,,,,
25/4/2018,20.8,0,9.2,,,,,,,,,
26/4/2018,21.9,0,7.3,,,,,,,,,
27/4/2018,24.2,0,7,,,,,,,,,
28/4/2018,28.3,0,5.5,,,,,,,,,
29/4/2018,29.1,0,7.2,,,,,,,,,
30/4/2018,30.2,0,10.8,,,,,,,,,
01/05/2018,29.9,0,8.9,,,,,,,,,
02/05/2018,30.2,0,5.8,,,,,,,,,
03/05/2018,31.9,0,2.5,,,,,,,,,
04/05/2018,34.1,0,10.4,,,,,,,,,
05/05/2018,28.2,0,10.4,,,,,,,,,
06/05/2018,28.3,0,9.4,,,,,,,,,
07/05/2018,24.9,0,12.2,,,,,,,,,
08/05/2018,27.1,0,11.6,,,,,,,,,
09/05/2018,29,0,8.3,,,,,,,,,
10/05/2018,33.9,0,17.7,,,,,,,,,
11/05/2018,31.2,0,11.9,,,,,,,,,
12/05/2018,26.9,0,7,,,,,,,,,
13/5/2018,21.7,0,3.2,,,,,,,,,
14/5/2018,26.8,0,9.3,,,,,,,,,
15/5/2018,24.8,0,12.8,,,,,,,,,
16/5/2018,26.2,0,10.9,,,,,,,,,
17/5/2018,26.6,0,12,,,,,,,,,
18/5/2018,26.9,0,12,,,,,,,,,
19/5/2018,27.4,0,11.9,,,,,,,,,
20/5/2018,28.4,0,10.8,,,,,,,,,
21/5/2018,29.8,0,11.6,,,,,,,,,
22/5/2018,34.6,0,7.7,,,,,,,,,
23/5/2018,36.1,0,7.3,,,,,,,,,
24/5/2018,34.7,0,8.3,,,,,,,,,
25/5/2018,33.1,0,7.8,,,,,,,,,
26/5/2018,32.5,0,8.2,,,,,,,,,
27/5/2018,29.7,0,9.1,,,,,,,,,
28/5/2018,28.4,0,8.7,,,,,,,,,
29/5/2018,30,0,9.7,,,,,,,,,
30/5/2018,29.1,0,7.7,,,,,,,,,
31/5/2018,30,0,6,,,,,,,,,
01/06/2018,31.7,0,9.2,,,,,,,,,
